00A7A6E8 0001 CUndo::CUndoData: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                            
00A7A6F0 0001 CUndo: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                                       
00A7A6F8 0007 CLogicGroup: CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                              
00A7A7B4 0017 CLogicGroupDescriptor: CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                       
00A7A80C 0001 CLogicLink: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                                  
00A7A99C 0007 CLogicObject: CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                             
00A7AB60 0001 CLogicWrapper: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                               
00A7AC9C 0007 CTimeline: CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                
00A7ACC4 0019 CTimelineDescriptor: CDescriptor, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                         
00A7B124 0001 CTimelineProperty::CTimelinePoint: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                           
00A7B13C 0001 CTimelineProperty: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                           
00A7B1F4 0001 CAffix: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                                      
00A7B208 0001 CEffectDisplayValues: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                        
00A7B36C 0001 CEffect: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                                     
00A7B4B0 0001 CEffectGroupManager: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                         
00A7B514 0001 CEffectManager: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                              
00A7B578 0001 CCullingBounds: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                              
00A7B584 0079 CBaseUnit: CPositionableObject, CSceneNodeObject, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                         
00A7B8CC 0088 CBreakable: CItem, CBaseUnit, CPositionableObject, CSceneNodeObject, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                      
00A7BC1C 0007 iInventoryListener;  [SI]                                                                                                                                                                                                                              
00A7BC3C 0001 CCharacter::CParticleAnimationTrigger: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                       
00A7BC44 0001 CAttackDescription: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                          
00A7CF54 0006 CCharacter;  [MI]                                                                                                                                                                                                                                      
00A7CF70 0007 CCharacter: iMissile;  [MI]                                                                                                                                                                                                                            
00A7CF94 0120 CCharacter: CBaseUnit, CPositionableObject, CSceneNodeObject, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>, iInventoryListener, iMissile;  [MI]                                                               
00A7DDB0 0001 CCharacterSaveState: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                         
00A7DDB8 0001 CCollisionModel: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                             
00A7DDEC 0018 CDynamicLine;  [MI]                                                                                                                                                                                                                                    
00A7DE38 0004 CDynamicLine: Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<4>>, Ogre::Renderable;  [MI]                                                                                                                                                          
00A7DE4C 0061 CDynamicLine: CDynamicRenderable, Ogre::SimpleRenderable, Ogre::MovableObject, Ogre::ShadowCaster, Ogre::AnimableObject, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<4>>, Ogre::Renderable;  [MI]                                               
00A7DF44 0018 CDynamicRenderable;  [MI]                                                                                                                                                                                                                              
00A7DF90 0004 CDynamicRenderable: Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<4>>, Ogre::Renderable;  [MI]                                                                                                                                                    
00A7DFA4 0061 CDynamicRenderable: Ogre::SimpleRenderable, Ogre::MovableObject, Ogre::ShadowCaster, Ogre::AnimableObject, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<4>>, Ogre::Renderable;  [MI]                                                             
00A7EA6C 0006 CEquipment;  [MI]                                                                                                                                                                                                                                      
00A7EA8C 0104 CEquipment: CItem, CBaseUnit, CPositionableObject, CSceneNodeObject, CEditorBaseObject, CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>, iMissile;  [MI]                                                                            
00A7F01C 0001 CActiveAnimation: CRunicCore, Ogre::AllocatedObject<Ogre::CategorisedAllocPolicy<0>>;  [SI]                                                                                                                                                            
00A7F028 0003 iRandomWeight;  [SI]                                                                                                                                                                                                                                   
00A7F038 0002 iHighlight;  [SI]                                                                                                                                                                                                                                      
00A7F044 0001 Ogre::Any;  [SI]                                                                                                                                                                                                                                       
00A7F04C 0004 Ogre::Any::placeholder;  [SI]                                                                                                                                                                                                                          
00A7F070 0004 Ogre::Any::holder<CRenderableStates *>: Ogre::Any::placeholder;  [SI]                                                                                                                                                                                  
00A7F084 0003 Ogre::SharedPtr<Ogre::GpuProgramParameters>;  [SI]                                                                                                                                                                                                     
00A7F2B0 0002 CGenericModel;  [MI]                                                                                                                                                                                                                                   
00A7F2BC 0003 CGenericModel: iHighlight;  [MI]                                                                                                                                                                                                                       
